,Wikipedia_features,wikipedia_featurs_No
2932,2008 utc,54.01475615676864
2933,is currently,54.002447902350184
2934,does anyone,53.985974014219885
2935,hasn,53.9441922991489
2936,mediation,53.935807499170615
2937,just the,53.93031677435603
2938,added the,53.92816007322707
2939,the uk,53.92120996412478
2940,to experiment,53.91669412846754
2941,shame,53.91417971817826
2942,tool,53.87947627645459
2943,but think,53.87905637291499
2944,hour,53.87410395295457
2945,no more,53.855668290831666
2946,range,53.85423648878668
2947,time you,53.81289645688145
2948,fellow,53.80971930468696
2949,mistakes,53.788829192323284
2950,education,53.78315245472447
2951,the film,53.75763362083257
2952,peer,53.75684064114555
2953,as he,53.74365801291809
2954,efforts,53.73104997022383
2955,to contribute,53.72876501403361
2956,mainstream,53.725672127338946
2957,blood,53.696183182034574
2958,turkish,53.694681585770354
2959,to them,53.65219348760857
2960,back and,53.64704170810148
2961,page as,53.641012749327054
2962,there any,53.63883364625417
2963,you suck,53.561370076884586
2964,give you,53.548906920169614
2965,retarded,53.49786898042948
2966,listing,53.48772564071812
2967,did it,53.4832801879697
2968,all this,53.480958932957314
2969,was born,53.4461673364628
2970,replace,53.44029543460419
2971,corrected,53.420324415867235
2972,citing,53.409764451089
2973,do we,53.39683593952073
2974,originally,53.37503162851217
2975,reason why,53.37373449149633
2976,use it,53.36259112273433
2977,think about,53.353933543620045
2978,the material,53.3475600250183
2979,them in,53.30810319681296
2980,but we,53.30134072584029
2981,jerk,53.28494983934851
2982,articles that,53.261455278718785
2983,40,53.23039865547318
2984,alright,53.22073975783907
2985,good idea,53.199681001877295
2986,not add,53.19380032806739
2987,grow,53.160147956907025
2988,contain,53.13420445649215
2989,birth,53.13021000720266
2990,fire,53.08871969158849
2991,of vandalism,53.077271813830976
2992,belongs,53.074189507727084
2993,easier,53.047845183504165
2994,it because,53.03964150593312
2995,you deleted,53.03511784516824
2996,polish,53.0343154963096
2997,continued,53.03364647451335
2998,states that,52.97634337707275
2999,are very,52.96934041947388
3000,disputed,52.95841768604394
3001,will never,52.953843469144
3002,split,52.92423184715966
3003,clear that,52.86468603842652
3004,this issue,52.856361328365416
3005,william,52.8155989287448
3006,restore,52.785195690890596
3007,neutrality,52.76616464432112
3008,sub,52.762659162508726
3009,in its,52.75918369744648
3010,anyone who,52.75601505110924
3011,and their,52.71315091987228
3012,strange,52.708475752486144
3013,seemed,52.68072878712654
3014,street,52.66513236331268
3015,we could,52.664378672491495
3016,all over,52.651522653149875
3017,station,52.63920730787991
3018,so why,52.62748655105519
3019,up in,52.61817076949624
3020,name and,52.61225256741364
3021,as being,52.61018640515216
3022,the number,52.587323550924154
3023,less than,52.58411290154793
3024,to check,52.58345414282292
3025,can not,52.58134133885356
3026,please explain,52.55481364588382
3027,ugly,52.54349023785604
3028,pointed,52.52977482775227
3029,did to,52.52140007340219
3030,that why,52.43846470276444
3031,be good,52.43349014314915
3032,african,52.42816286084836
3033,spread,52.42424745201792
3034,history and,52.40921154116649
3035,of style,52.39771470160937
3036,somewhat,52.394340872767714
3037,case of,52.37496771658693
3038,without any,52.366526523788494
3039,huh,52.36172171893107
3040,park,52.352351337178845
3041,the more,52.34972540040734
3042,again and,52.330296891183465
3043,to try,52.32807483388925
3044,summaries,52.29462220209319
3045,apology,52.2912156611356
3046,liar,52.28793244055498
3047,ask you,52.28578754351601
3048,majority of,52.27631821277695
3049,first place,52.22425847747026
3050,idiots,52.22187583075897
3051,the british,52.21732007811946
3052,they should,52.215599678027395
3053,produce,52.20097611712081
3054,the references,52.17666244750859
3055,the editor,52.165090681554624
3056,israeli,52.16419438509427
3057,the idea,52.12793961394102
3058,favor,52.11598274298589
3059,vandalism and,52.1159178605048
3060,keep it,52.07463184788559
3061,your comment,52.052654403788154
3062,at it,52.043733980249776
3063,quickly,52.01829343528633
3064,here in,52.01229648478041
3065,raised,51.99915083090157
3066,program,51.97910558815383
3067,sock puppet,51.914981126731384
3068,them and,51.90081818216927
3069,years ago,51.88484021114034
3070,global,51.859588795120104
3071,persons,51.829639359967054
3072,page but,51.82357383981707
3073,vandalized,51.80614594535017
3074,his name,51.800830394391134
3075,signed,51.782711159096685
3076,don get,51.77694455847453
3077,touch,51.75765561781981
3078,length,51.74901872236539
3079,on me,51.73557944676539
3080,visit,51.73390984653843
3081,org index,51.729032169554245
3082,bet,51.72211793373321
3083,suck my,51.69606627010148
3084,against me,51.68717329887661
3085,this as,51.68610820328448
3086,some other,51.67798673987508
3087,tildes,51.66838191135525
3088,please note,51.65010942234852
3089,take the,51.64200859334205
3090,player,51.63667975982294
3091,blatant,51.61761380740182
3092,plan,51.59191896415586
3093,career,51.56859008493525
3094,group of,51.559038784914044
3095,ask me,51.54283450364232
3096,does this,51.53362507106977
3097,brain,51.51387187397244
3098,of some,51.48181170154698
3099,year old,51.47998262377849
3100,attitude,51.46649555543886
3101,quoted,51.464318819947025
3102,that some,51.45639867171928
3103,leave the,51.42476524022671
3104,la,51.40560877313735
3105,that just,51.388892791733454
3106,php title,51.38821646895897
3107,focus,51.3821444622467
3108,episodes,51.32519881806096
3109,at that,51.30768216755291
3110,manual of,51.29445753709439
3111,confirm,51.284768556354194
3112,voice,51.28120046451218
3113,undo,51.27975854739151
3114,forever,51.27634297006658
3115,and make,51.272538982911364
3116,rowspan,51.27005725174436
3117,crime,51.2589027236211
3118,followed,51.25270856109083
3119,whats,51.201919560305754
3120,but can,51.20038895274182
3121,vandalism if,51.198148641099145
3122,he had,51.18577649440576
3123,tests,51.182876709258785
3124,born in,51.17423328697202
3125,08,51.14651350470962
3126,accusing,51.14108555167718
3127,entries,51.11999260222067
3128,spend,51.1100471257338
3129,does the,51.10282114182685
3130,match,51.02363276407363
3131,students,51.013925584913636
3132,the show,51.01109203195533
3133,can someone,50.98966790677326
3134,development,50.98300164796025
3135,bio,50.9821970834902
3136,lots of,50.97995208855037
3137,also be,50.96198987227033
3138,wing,50.95898064597542
3139,am sorry,50.949721518751
3140,page or,50.94959606094479
3141,held,50.94505789476112
3142,thousands,50.94318913651174
3143,six,50.941443391055145
3144,is correct,50.9059939620952
3145,contributor,50.877793494412
3146,page in,50.858494317438094
3147,stop being,50.85440663816603
3148,contains,50.8541076675652
3149,conclusion,50.8266762608391
3150,not been,50.80068761413611
3151,fall,50.78933513273768
3152,add it,50.78447831070617
3153,and more,50.76045198756213
3154,source is,50.75958740112172
3155,in and,50.75826316789843
3156,get to,50.75633703338818
3157,the info,50.72140360634358
3158,annoying,50.714967914312616
3159,is actually,50.68750819096616
3160,in mind,50.68509012475474
3161,impossible,50.679102011439085
3162,bbc,50.67695533366778
3163,to call,50.662175754481865
3164,help you,50.65894108583844
3165,or any,50.65464823524558
3166,wife,50.64096404247557
3167,it makes,50.61025202463924
3168,the infobox,50.59183728860737
3169,and others,50.579351727010426
3170,not really,50.56484379480956
3171,do anything,50.55816416664116
3172,in one,50.540088849241855
3173,we will,50.52483936524029
3174,figures,50.523333696525356
3175,familiar with,50.51499191829233
3176,used by,50.513135211542775
3177,if anyone,50.509484080219416
3178,from an,50.501384344950274
3179,way you,50.493882875873965
3180,was to,50.49235419650045
3181,long time,50.48317037159764
3182,me as,50.481175429736986
3183,so called,50.452287139693865
3184,civility,50.444021827774826
3185,but have,50.43572559376951
3186,medical,50.43490903554726
3187,welcome page,50.43371055129012
3188,editing the,50.384070560264256
3189,genre,50.36796186950173
3190,accuse,50.35917642100277
3191,theories,50.35693331252395
3192,one that,50.34286410894267
3193,terrorist,50.3155256751544
3194,continues,50.30245176135239
3195,now and,50.27969579281819
3196,so we,50.27657742677177
3197,stalking,50.276497707824596
3198,contributors,50.27509504035437
3199,bill,50.27344495551109
3200,you very,50.27064245573692
3201,dirty,50.26993579515491
3202,odd,50.262544489825046
3203,letter,50.252399462531926
3204,harassing,50.24055729580695
3205,was blocked,50.23522327848973
3206,doesn mean,50.23065227375098
3207,union,50.228430843366695
3208,no way,50.22390434156734
3209,in general,50.221045226818774
3210,you dont,50.215284978421046
3211,the community,50.21494175251808
3212,peoples,50.18527134635325
3213,article if,50.17819431300162
3214,do what,50.16481282881688
3215,people in,50.151350410953405
3216,deserves,50.13962263185964
3217,areas,50.11050013280825
3218,reporting,50.1093840261515
3219,replied,50.106751546939954
3220,come on,50.103733998208064
3221,opposed,50.08800229625779
3222,who the,50.08234905607523
3223,from you,50.074410991687074
3224,page was,50.07399008695839
3225,what happened,50.04849200109141
3226,roman,50.04845370920987
3227,you people,50.034928492559516
3228,deleted the,50.02699209250406
3229,even the,50.01762510430419
3230,logo,50.015910840709005
3231,broken,50.00260026591565
3232,is already,49.997562425316595
3233,about how,49.93984463840605
3234,in case,49.9335365228389
3235,fuckin,49.92984668866404
3236,them as,49.910714932813384
3237,typical,49.89339424201478
3238,addressed,49.88355181075591
3239,the state,49.88346547480262
3240,the sentence,49.86512422561236
3241,you be,49.86349226122849
3242,northern,49.84672343527557
3243,the previous,49.84482201407469
3244,anyone else,49.83206464185207
3245,existence,49.828347280208696
3246,to any,49.80999775128746
3247,not like,49.8053861532815
3248,has nothing,49.80185701628482
3249,plenty,49.79435869299436
3250,read this,49.79399733877776
3251,hole,49.78533501368622
3252,ignored,49.78336372570249
3253,note on,49.77324538667997
3254,japan,49.75670450532315
3255,the three,49.74400450714229
3256,analysis,49.73647949156364
3257,we do,49.69986616293551
3258,02,49.69379065892541
3259,sexual,49.68934042353384
3260,kindly,49.68536423041415
3261,no matter,49.675337058982244
3262,the city,49.67412659653489
3263,russia,49.670768252065386
3264,have seen,49.66528195228121
3265,fighting,49.66094235260487
3266,the public,49.655017486428854
3267,violate,49.64880566281504
3268,why this,49.641501187683666
3269,will you,49.62802025440418
3270,07,49.626446436704995
3271,to continue,49.615510309019996
3272,waiting,49.615483967693876
3273,information to,49.59388029982036
3274,contrary,49.56014460149925
3275,this information,49.55950809259662
3276,regardless of,49.53717283478634
3277,might have,49.534979093409454
3278,come back,49.52627780879839
3279,changed the,49.49264467019657
3280,improving,49.482886391354306
3281,of our,49.477467814276636
3282,if so,49.46444359137876
3283,what does,49.42051674191825
3284,balls,49.39230150834732
3285,as in,49.37876828634613
3286,be mentioned,49.3679620807168
3287,permission,49.367528340066414
3288,calls,49.36464827575479
3289,and only,49.3604639780884
3290,imagine,49.34961536407161
3291,user is,49.3383101830968
3292,will get,49.31550171193323
3293,thought it,49.307322740021
3294,curious,49.28417747328763
3295,angry,49.28374293909579
3296,coverage,49.25574949476868
3297,attempts,49.2360017676579
3298,approach,49.22586752932916
3299,that as,49.22493874321076
3300,your contributions,49.21804689739325
3301,relevant to,49.2176275844403
3302,about my,49.18854627158151
3303,defend,49.18610914231116
3304,source that,49.168992249522596
3305,hands,49.154769958919005
3306,so don,49.14844905111448
3307,me from,49.13692787895161
3308,murder,49.134029246153546
3309,kids,49.13277919432812
3310,library,49.1158681953346
3311,regard,49.06944613773235
3312,matter of,49.06615262537612
3313,appeared,49.06431815018476
3314,by an,49.06408983888788
3315,mouth,49.056110884264776
3316,plot,49.04182510655741
3317,you find,49.0401685112944
3318,was that,49.02403987803787
3319,soviet,49.012481278899266
3320,crazy,48.98041110845362
3321,main page,48.946017663385526
3322,you also,48.94516261647356
3323,that people,48.92855130012378
3324,newspaper,48.92785944634624
3325,shut up,48.90130487934192
3326,the evidence,48.884998641330434
3327,ready,48.854730977588915
3328,your page,48.82312941303123
3329,brother,48.81760002503342
3330,around the,48.803137315753474
3331,this should,48.798238334912256
3332,my account,48.77338303125769
3333,racism,48.74536730598683
3334,are also,48.73816039198217
3335,an image,48.713599385626544
3336,given the,48.69573656821731
3337,female,48.69136010256444
3338,good to,48.68697419229336
3339,only the,48.68322267105861
3340,st,48.6813772226201
3341,is because,48.68087823039861
3342,expand,48.66967713057793
3343,miss,48.630813005954046
3344,what to,48.624934342703575
3345,intention,48.621942985418556
3346,wont,48.5931058363328
3347,bush,48.59230374783737
3348,promise,48.57567277565876
3349,explain why,48.55449372110326
3350,require,48.55273657988518
3351,confusion,48.53605682467716
3352,here the,48.530616065710525
3353,ie,48.52999355740336
3354,source of,48.523620332877215
3355,pure,48.51987092533623
3356,motherfucker,48.51540404649327
3357,nearly,48.50696978888618
3358,improve the,48.50314474228618
3359,on how,48.49317438841483
3360,subject of,48.445333290312945
3361,songs,48.43989840279649
3362,allegations,48.437715837032165
3363,go and,48.43467366538248
3364,be very,48.417759463353775
3365,anything to,48.4138493454672
3366,padding 3px,48.41012065891445
3367,repeated,48.396048119890324
3368,me with,48.37906261891735
3369,choose,48.36356593387875
3370,more of,48.362427385103814
3371,people have,48.36094057827015
3372,pop,48.34840124669149
3373,try and,48.311612808974
3374,network,48.295869230143445
3375,election,48.29388409564047
3376,is better,48.20932786816611
3377,is well,48.20212386316984
3378,location,48.18583347368307
3379,justify,48.180447066597566
3380,as said,48.17784742888268
3381,italian,48.16251089736711
3382,vandalize wikipedia,48.150731873884396
3383,promote,48.145268007466626
3384,student,48.14044858449308
3385,copied,48.124144129938344
3386,it here,48.11754324981599
3387,and wikipedia,48.097204913586616
3388,prick,48.09276997520867
3389,see wikipedia,48.03364580521214
3390,checking,48.02947827572718
3391,reasoning,48.01012890611011
3392,there should,47.98228747597164
3393,can edit,47.943808078229615
3394,of me,47.934993853785926
3395,dont know,47.933899536841096
3396,it been,47.933414522614214
3397,are being,47.92747140097928
3398,unnecessary,47.91261261001191
3399,violating,47.91213722178043
3400,him and,47.90693070306868
3401,mad,47.896222881856005
3402,here on,47.87656137774551
3403,and welcome,47.872834956730244
3404,solution,47.8642420493184
3405,participate,47.84763718912627
3406,jack,47.80794049993335
3407,the statement,47.781736091902694
3408,we all,47.75096961285894
3409,the situation,47.75057283162243
3410,what your,47.73002312720042
3411,spent,47.7070626537199
3412,verify,47.69989709065121
3413,is from,47.69005323610825
3414,eh,47.687107533479356
3415,people and,47.67526380103353
3416,by me,47.66966473085259
3417,doing so,47.64006848872142
3418,accusation,47.63316084405432
3419,title of,47.624437264530535
3420,and when,47.59250930481641
3421,radio,47.590748028365645
3422,with him,47.57534287286782
3423,do have,47.566414607885974
3424,peter,47.561937022457755
3425,anything about,47.561189763721394
3426,place to,47.540823906935046
3427,please be,47.53706521104417
3428,be made,47.524788630088764
3429,constantly,47.4860917993081
3430,australian,47.478348729857586
3431,dealing,47.46387598442484
3432,is quite,47.455670654733645
3433,greater,47.44304343050096
3434,to answer,47.4359380557143
3435,complaint,47.43454704758159
3436,meant to,47.42925597251982
3437,document,47.42663525879712
3438,as per,47.425983513710946
3439,health,47.42563178895014
3440,out to,47.423528097266924
3441,muslims,47.41401091478076
3442,make any,47.40421207262974
3443,powers,47.39686938547366
3444,players,47.38545427831164
3445,nothing about,47.38174458928211
3446,latin,47.35958469730554
3447,can help,47.35205268616325
3448,the tag,47.34348072402955
3449,objective,47.34190839532492
3450,by your,47.340715994035875
3451,is notable,47.33006258184439
3452,were the,47.321831233601614
3453,software,47.30204260338827
3454,nothing but,47.299363159222615
3455,had the,47.288807027191574
3456,films,47.27915695257085
3457,it needs,47.26117668717615
3458,for wikipedia,47.25449554654231
3459,removed it,47.254343952146655
3460,the difference,47.250819845818
3461,must have,47.249547733986105
3462,that do,47.24629580983451
3463,opening,47.24078252136189
3464,used for,47.22619244079106
3465,don need,47.22476962042508
3466,attempting,47.19437806388674
3467,sentences,47.19218223431096
3468,that no,47.18151846797883
3469,friendly,47.17438234182383
3470,compromise,47.16822392038582
3471,minority,47.15540216899097
3472,identity,47.14107034348132
3473,need help,47.13571922027064
3474,font size,47.13185547502163
3475,doesnt,47.12386170087612
3476,sources are,47.098864561051926
3477,turned,47.04821315912302
3478,my article,47.02578132855048
3479,sake,47.02352841106976
3480,like an,46.99747087338813
3481,sounds like,46.99562927077305
3482,signature,46.99457318305284
3483,which has,46.968662977009714
3484,ips,46.96716084242444
3485,buddy,46.96453712405927
3486,sources for,46.936222163772136
3487,keep the,46.93490989915927
3488,some time,46.934000408904836
3489,it an,46.919181901404365
3490,about contributing,46.910261858386676
3491,don be,46.83569675866656
3492,pussy,46.83557983403529
3493,many times,46.83209044220742
3494,awards,46.78915987978015
3495,mom,46.78208535420334
3496,inaccurate,46.763293770518885
3497,interpretation,46.762945167440954
3498,all your,46.76057651277957
3499,please refrain,46.743311632850656
3500,we ll,46.713356469381196
3501,critical,46.70778397482865
3502,requesting,46.68974639320718
3503,to not,46.68388507594564
3504,for their,46.67702526486101
3505,throughout,46.67304423851808
3506,label,46.63148583359785
3507,respond to,46.62451299220304
3508,such an,46.62134643881409
3509,ve seen,46.60459538265314
3510,associated,46.597342637285735
3511,widely,46.59235937146285
3512,page please,46.59087346953064
3513,other articles,46.58521993014982
3514,providing,46.582748757848016
3515,foreign,46.581647107571854
3516,find out,46.571229368744625
3517,it more,46.562461113719024
3518,uncivil,46.54548641459371
3519,an issue,46.53483370043539
3520,wtf,46.52460021186443
3521,to point,46.51049313384443
3522,as possible,46.50375073687132
3523,can tell,46.4964611291558
3524,perspective,46.49521447011317
3525,hot,46.49147568043716
3526,key,46.489012569113996
3527,this point,46.42916647096569
3528,awesome,46.41295388161514
3529,investigation,46.40341209989918
3530,article which,46.38792679328376
3531,arguing,46.38473780497091
3532,you or,46.373306002680565
3533,influence,46.36598278000646
3534,this isn,46.364998477360416
3535,no it,46.312562594771755
3536,but what,46.312360818010404
3537,support the,46.30605571974442
3538,of one,46.30445791441908
3539,have already,46.30369815352573
3540,car,46.298721808414896
3541,ten,46.27263577422048
3542,is clear,46.269708536970946
3543,an example,46.24544921479223
3544,and an,46.239271108799635
3545,redirects,46.23757828686464
3546,mean that,46.22979499560648
3547,credible,46.209771110268065
3548,said it,46.20406351000313
3549,retard,46.188598088915114
3550,ground,46.18569514307331
3551,rewrite,46.17771444944697
3552,love to,46.17621986827201
3553,best to,46.16521253862227
3554,get your,46.1591965425339
3555,plain,46.11878152395489
3556,reverting my,46.11699203671741
3557,say the,46.093770164508356
3558,naming,46.08929603753606
3559,are more,46.08834827507679
3560,article with,46.07514831529932
3561,ban me,46.05914332642517
3562,dark,46.05819593698953
3563,evidence that,46.05045032883247
3564,to wp,46.04004959263403
3565,cat,46.029854668186346
3566,just want,46.02724972218784
3567,did the,46.011776613051396
3568,brown,45.99963984146373
3569,see why,45.98237927500615
3570,wikipedia page,45.977871200158155
3571,unable,45.97298554520318
3572,parents,45.96626205970764
3573,seems that,45.95120002475055
3574,care about,45.950454314317376
3575,types,45.911056322741835
3576,wishes,45.88352889385104
3577,and wp,45.86726973656878
3578,page with,45.866565389481934
3579,energy,45.846257269756265
3580,hate you,45.83698890092996
3581,conversation,45.82383031247538
3582,fyi,45.781702312626344
3583,all my,45.77099925711856
3584,it at,45.76444977845995
3585,yesterday,45.76238714275706
3586,contest,45.74408779329824
3587,in addition,45.72408271050655
3588,chris,45.72054654167289
3589,stands,45.718332640442455
3590,used as,45.69533524156159
3591,me alone,45.68773854594746
3592,see wp,45.6728141881598
3593,islamic,45.640557567958666
3594,recommend,45.63840636558058
3595,communist,45.616548302679085
3596,biggest,45.600422379625776
3597,have added,45.59947758354938
3598,page so,45.59153412917262
3599,subjects,45.572501910162565
3600,artist,45.55705121617215
3601,with some,45.55006881935718
3602,four tildes,45.54096438416363
3603,of her,45.53082104984605
3604,the record,45.51776614801943
3605,you take,45.50384176185083
3606,made to,45.48487898023275
3607,very well,45.48154581056356
3608,piss,45.469526551613335
3609,push,45.46149022484301
3610,zero,45.46112483339117
3611,baby,45.451698114575684
3612,cross,45.44689982298429
3613,what we,45.43377047610744
3614,unlike,45.41680711182825
3615,improvement,45.407601937059354
3616,dealing with,45.39747837119435
3617,product,45.39716257101418
3618,this but,45.39649573115036
3619,royal,45.39504894410967
3620,understood,45.39183643739034
3621,commercial,45.39183578102449
3622,fans,45.349256323722514
3623,the reader,45.341750275836354
3624,information that,45.336076319872745
3625,you but,45.33189935104025
3626,and being,45.324167927300444
3627,exactly what,45.32060266639044
3628,side of,45.3070425159239
3629,bye,45.30580548847434
3630,as is,45.30066527877327
3631,why would,45.28945433080361
3632,with other,45.283950483871
3633,my comment,45.26074190725367
3634,pre,45.260078662905585
3635,add to,45.25891073004558
3636,are doing,45.25621030781399
3637,could not,45.25456446374284
3638,ve done,45.24781963791567
3639,per wp,45.23774397834507
3640,illegal,45.23089099990541
3641,or two,45.21769300460681
3642,onto,45.203496383671244
3643,you stupid,45.19580907879192
3644,have removed,45.18863753437719
3645,not as,45.17696897782111
3646,problem is,45.162054895048605
3647,sandbox for,45.15075048764423
3648,and ll,45.148902859787945
3649,thought you,45.14157786890911
3650,something to,45.104208010049604
3651,that an,45.05924434974429
3652,letting,45.05658520954501
3653,pages and,45.0480436248724
3654,good work,45.03732591874797
3655,hurt,45.00798936205812
3656,listen to,45.00305712524353
3657,rape,44.99102537356318
3658,express,44.98262927604681
3659,happened to,44.9793308526316
3660,license,44.96937569646313
3661,the work,44.96349692207412
3662,the majority,44.93818007123791
3663,believe it,44.92194562893584
3664,appeal,44.91898438921062
3665,heard of,44.893583641042426
3666,about his,44.889830873742596
3667,the great,44.87681942298376
3668,the day,44.86971359246928
3669,relationship,44.85030239153905
3670,improved,44.84559154993599
3671,you haven,44.83975478178867
3672,htm,44.838301138111916
3673,you as,44.833690402919416
3674,have it,44.83272125483092
3675,laugh,44.80622607718142
3676,detailed,44.76945137165455
3677,benefit,44.758665202305984
3678,becoming,44.73320619155653
3679,had no,44.71261639816916
3680,edit it,44.69263484849022
3681,unable to,44.6655122600456
3682,feedback,44.63274823879346
3683,hide,44.6109838585888
3684,belief,44.60199734193988
3685,both of,44.59395765264484
3686,inside,44.582736619904615
3687,queen,44.57842194087856
3688,won be,44.5678816903344
3689,do is,44.5547223741984
3690,tired,44.54281710754097
3691,out there,44.53846472518986
3692,my friend,44.535095036669276
3693,difference between,44.529735203605874
3694,schools,44.50738325129289
3695,but to,44.47542156227997
3696,at your,44.45040024395617
3697,is too,44.440765741716774
3698,channel,44.42980932494264
3699,heart,44.42956569168104
3700,2009 utc,44.41921335980294
3701,wikipedia your,44.41649428482608
3702,threatening,44.41089779450088
3703,heads,44.39035206534571
3704,journal,44.37581609925538
3705,congratulations,44.32952076994514
3706,for one,44.32800836106894
3707,way it,44.313400539386656
3708,individuals,44.31212408973573
3709,requires,44.28942607853846
3710,to some,44.28922821297141
3711,lose,44.28435292474155
3712,design,44.2784481976969
3713,feelings,44.2688400119759
3714,parties,44.219445123923684
3715,punk,44.217145967664955
3716,ve never,44.21289290230412
3717,edits on,44.20198274318347
3718,removed from,44.19765284157045
3719,so they,44.18066258131712
3720,fdffe7,44.1742851022854
3721,state of,44.17326219271318
3722,moved to,44.16867288097729
3723,article needs,44.14907692446031
3724,go on,44.143864901923195
3725,helps,44.142127219090206
3726,but do,44.141524074489084
3727,believe the,44.13313546959787
3728,page the,44.12387925653318
3729,ll see,44.10942555420753
3730,until the,44.10149154165373
3731,aside,44.080958414199685
3732,expanded,44.0683713304339
3733,thanks again,44.05926067207762
3734,need for,44.05639255623545
3735,reply to,44.05486673022103
3736,it only,44.04836892325363
3737,is and,44.04312616360931
3738,stop your,44.0420452212134
3739,contribute to,44.02445758200504
3740,the process,44.015780733919094
3741,the comment,44.01177946169115
3742,you enjoy,44.00897832068226
3743,04,44.00592407491686
3744,and one,43.998880102102405
3745,color fdffe7,43.935119928985536
3746,information and,43.93258853818867
3747,much for,43.92516749397614
3748,remains,43.91894930042144
3749,boys,43.89792163758708
3750,not true,43.89359629359563
3751,that to,43.84663989534011
3752,out and,43.84415959459709
3753,male,43.81611008413947
3754,remarks,43.81290975382208
3755,understand what,43.806595015391714
3756,conflict of,43.80504975990942
3757,repeat,43.80161199674289
3758,on to,43.80114161410244
3759,attempting to,43.79781339034726
3760,super,43.79402673456007
3761,your recent,43.785344573071725
3762,sense of,43.76073129132625
3763,bad faith,43.75265697161823
3764,deny,43.747095783334665
3765,2nd,43.7387422606604
3766,please add,43.72543542723181
3767,whether or,43.719331854334555
3768,room,43.713761593959916
3769,sincerely,43.71192258137797
3770,verified,43.697969957931676
3771,sorry about,43.691326216601155
3772,that were,43.68352195798092
3773,pages you,43.68349108063807
3774,suggesting,43.67122872220217
3775,intro,43.66809686228185
3776,terms of,43.665096173028054
3777,might want,43.65543036521002
3778,weren,43.640299251998364
3779,please let,43.59513870794641
3780,wikipedia to,43.59465758259052
3781,beat,43.58876311928012
3782,insulting,43.58305801252939
3783,of how,43.542467348393174
3784,to believe,43.53729801932842
3785,massive,43.533965160279536
3786,revision,43.52058440007842
3787,does that,43.51401459524686
3788,road,43.50139364014701
3789,ability,43.48451432937985
3790,48,43.47385789901142
3791,da,43.464239999693795
3792,you even,43.46000867639344
3793,brief,43.44336493417762
3794,our encyclopedia,43.41937232637812
3795,association,43.40402412830692
3796,the pages,43.392823921921625
3797,you ever,43.38093059401555
3798,will see,43.37982683202078
3799,the war,43.365292943256904
3800,was only,43.36226079454182
3801,makes it,43.35527835931014
3802,few days,43.34877202608506
3803,fa,43.33488796843669
3804,this would,43.33169366936691
3805,while the,43.288254059589306
3806,any case,43.278809885874814
3807,pillars,43.27520207483439
3808,extreme,43.2674969179517
3809,studies,43.26187767578176
3810,but as,43.24898369190965
3811,if your,43.240595257972615
3812,abusive,43.22373248980302
3813,interview,43.222392269593335
3814,domain,43.19840343417463
3815,food,43.18880691069865
3816,tom,43.17548740050229
3817,appreciate it,43.1747532225504
3818,cup,43.16494633678149
3819,can have,43.152893394787974
3820,my point,43.151910257380145
3821,ought,43.08718030394115
3822,violations,43.08213864709815
3823,is simply,43.08169326754206
3824,editors who,43.073175769521825
3825,to move,43.06721828205621
3826,fast,43.064899419080284
3827,logical,43.0497087356657
3828,the five,43.03490049485676
3829,but please,43.01667412151883
3830,fringe,43.008752184424615
3831,writer,43.00223562643378
3832,not my,42.98462310428282
3833,have reverted,42.98455250854042
3834,the ones,42.98001491477965
3835,whatsoever,42.97195618833714
3836,and leave,42.95869112826125
3837,be nice,42.95017269140947
3838,the claim,42.926078118997644
3839,contributions to,42.9229510130228
3840,as we,42.90323626887298
3841,in good,42.88968183858513
3842,very good,42.8880906602997
3843,here you,42.865053928423315
3844,files,42.85251334440103
3845,regular,42.85128924256575
3846,much as,42.8490314699504
3847,not on,42.83950851292325
3848,structure,42.82730529110002
3849,met,42.82485849146917
3850,he does,42.82311700448033
3851,the criteria,42.81844964055215
3852,television,42.81760987581424
3853,is of,42.796324297695264
3854,have just,42.79550892216115
3855,disgusting,42.77181813637214
3856,ignorance,42.76226988051417
3857,wikimedia,42.75826656658903
3858,the wp,42.75241359784926
3859,frankly,42.75120419732933
3860,than you,42.73927370122746
3861,to sign,42.724743683993495
3862,dictionary,42.70583838747674
3863,ll have,42.67620024432182
3864,fix it,42.67611057668845
3865,laws,42.64026934201827
3866,she has,42.63303535858392
3867,is probably,42.63083837572993
3868,though it,42.61822663822491
3869,do something,42.61213414884238
3870,rate,42.60656336296187
3871,are trying,42.60655001017027
3872,homosexual,42.579260934005106
3873,are welcome,42.56530042316655
3874,at my,42.55734181728939
3875,pic,42.52792527498396
3876,first time,42.52587985384092
3877,stopped,42.52505644457171
3878,it still,42.511513803533234
3879,source and,42.51007527874206
3880,unfair,42.50894672735759
3881,life and,42.49992489510473
3882,one and,42.48201341414526
3883,base,42.46981774032182
3884,pretty much,42.448685851558565
3885,to hear,42.44798899690331
3886,beliefs,42.445061703888335
3887,tomorrow,42.43457759760517
3888,model,42.42967260726884
3889,edit page,42.42925092315955
3890,neutral point,42.39480414264223
3891,the story,42.38908332971799
3892,it there,42.388115588318605
3893,or at,42.37479968243912
3894,go back,42.34517443017854
3895,literature,42.33787656702206
3896,reached,42.333442172368486
3897,eventually,42.31851766652727
3898,result of,42.30893387203888
3899,supports,42.307666855078686
3900,nazis,42.291887071414
